id,name,department,marks,attendance
1,Arun1,MCA,49,66
2,Ravi2,MScCS,70,80
3,Kumar3,BCA,63,73
4,Suresh4,BScCS,48,99
5,Vijay5,MCA,46,92
6,Ajay6,MScCS,39,66
7,Rahul7,BCA,46,78
8,Karthik8,BScCS,64,97
9,Prakash9,MCA,38,100
10,Dinesh10,MScCS,60,99
11,Hari11,BCA,88,79
12,Manoj12,BScCS,92,82
13,Surya13,MCA,35,75
14,Naveen14,MScCS,89,86
15,Gokul15,BCA,70,74
16,Vignesh16,BScCS,62,86
17,Aravind17,MCA,48,70
18,Bala18,MScCS,83,71
19,Deepak19,BCA,80,87
20,Santhosh20,BScCS,68,67
21,Arun21,MCA,93,99
22,Ravi22,MScCS,50,89
23,Kumar23,BCA,45,100
24,Suresh24,BScCS,72,88
25,Vijay25,MCA,59,69
26,Ajay26,MScCS,40,79
27,Rahul27,BCA,72,70
28,Karthik28,BScCS,64,71
29,Prakash29,MCA,83,82
30,Dinesh30,MScCS,93,88
31,Hari31,BCA,55,88
32,Manoj32,BScCS,80,78
33,Surya33,MCA,69,69
34,Naveen34,MScCS,56,99
35,Gokul35,BCA,66,75
36,Vignesh36,BScCS,94,89
37,Aravind37,MCA,69,100
38,Bala38,MScCS,63,85
39,Deepak39,BCA,42,79
40,Santhosh40,BScCS,39,85
41,Arun41,MCA,86,82
42,Ravi42,MScCS,43,78
43,Kumar43,BCA,75,78
44,Suresh44,BScCS,98,90
45,Vijay45,MCA,93,74
46,Ajay46,MScCS,68,73
47,Rahul47,BCA,66,100
48,Karthik48,BScCS,68,92
49,Prakash49,MCA,86,88
50,Dinesh50,MScCS,63,73
51,Hari51,BCA,98,70
52,Manoj52,BScCS,41,72
53,Surya53,MCA,54,75
54,Naveen54,MScCS,89,69
55,Gokul55,BCA,84,89
56,Vignesh56,BScCS,94,98
57,Aravind57,MCA,67,100
58,Bala58,MScCS,36,72
59,Deepak59,BCA,69,86
60,Santhosh60,BScCS,49,83
61,Arun61,MCA,90,75
62,Ravi62,MScCS,93,65
63,Kumar63,BCA,68,97
64,Suresh64,BScCS,57,97
65,Vijay65,MCA,48,84
66,Ajay66,MScCS,60,74
67,Rahul67,BCA,82,75
68,Karthik68,BScCS,35,85
69,Prakash69,MCA,97,66
70,Dinesh70,MScCS,49,88
71,Hari71,BCA,74,80
72,Manoj72,BScCS,42,80
73,Surya73,MCA,45,70
74,Naveen74,MScCS,97,69
75,Gokul75,BCA,51,73
76,Vignesh76,BScCS,95,100
77,Aravind77,MCA,56,81
78,Bala78,MScCS,89,78
79,Deepak79,BCA,60,84
80,Santhosh80,BScCS,86,88
81,Arun81,MCA,91,98
82,Ravi82,MScCS,92,72
83,Kumar83,BCA,66,79
84,Suresh84,BScCS,43,86
85,Vijay85,MCA,37,100
86,Ajay86,MScCS,64,79
87,Rahul87,BCA,35,69
88,Karthik88,BScCS,42,79
89,Prakash89,MCA,43,67
90,Dinesh90,MScCS,77,69
91,Hari91,BCA,65,82
92,Manoj92,BScCS,97,78
93,Surya93,MCA,51,95
94,Naveen94,MScCS,66,95
95,Gokul95,BCA,87,77
96,Vignesh96,BScCS,47,71
97,Aravind97,MCA,90,87
98,Bala98,MScCS,89,91
99,Deepak99,BCA,94,68
100,Santhosh100,BScCS,47,68
